Smooth_muscle_cells
Astrocyte
Astrocyte
Astrocyte
Astrocyte
Astrocyte
Macrophage
Neuroepithelial_cell
iPS_cells
Astrocyte
Astrocyte
Astrocyte
Astrocyte
Macrophage
Astrocyte
Astrocyte
Astrocyte
Hepatocytes
Astrocyte
Keratinocytes
Keratinocytes
Astrocyte
iPS_cells
Macrophage
Macrophage
Astrocyte
Astrocyte
Astrocyte
Astrocyte
Astrocyte
Astrocyte
Astrocyte
Embryonic_stem_cells
Astrocyte
Chondrocytes
Astrocyte
Astrocyte
Astrocyte
Astrocyte
Astrocyte
Astrocyte
Astrocyte
Astrocyte
Neurons
iPS_cells
Astrocyte
Astrocyte
Astrocyte
Astrocyte
Astrocyte
Astrocyte
Macrophage
iPS_cells
Astrocyte
Astrocyte
Neuroepithelial_cell
iPS_cells
iPS_cells
Astrocyte
iPS_cells
Embryonic_stem_cells
Neurons
Osteoblasts
Astrocyte
Astrocyte
Astrocyte
Keratinocytes
Macrophage
iPS_cells
Neurons
Astrocyte
Astrocyte
Astrocyte
iPS_cells
Astrocyte
Astrocyte
DC
Astrocyte
Keratinocytes
Astrocyte
Astrocyte
Astrocyte
Astrocyte
Keratinocytes
Astrocyte
Astrocyte
Neuroepithelial_cell
Neuroepithelial_cell
Astrocyte
Astrocyte
Astrocyte
