sortid,genelist,drdist,FC,pValues,pAdjusted
9334,SNX4,8.44511682081502e-08,0.000258132222977455,0.987181344138998,0.999999999999955
386,ADH5,8.44053915573261e-08,0.000257992302726635,0.98718481847932,0.999999999999955
11226,ZBTB11,8.4257616837023e-08,0.000257540616647436,0.987196040669824,0.999999999999955
5954,MRI1,8.42339433748898e-08,0.000257468256684446,0.987197839375597,0.999999999999955
1621,CBR3,8.40927121743446e-08,0.000257036571433383,0.987208575356338,0.999999999999955
9460,SRBD1,8.40431152090201e-08,0.00025688497406435,0.987212347711043,0.999999999999955
7189,PIGX,8.40378410108804e-08,0.000256868853026369,0.987212748933054,0.999999999999955
5940,MPV17,8.38765792327262e-08,0.000256375942600623,0.987225022622092,0.999999999999955
4066,GOLGA7B,8.35819236676037e-08,0.000255475302649139,0.987247479479636,0.999999999999955
6938,PCCB,8.33611005895128e-08,0.000254800338012867,0.98726433524034,0.999999999999955
10816,ULBP2,8.27286973588896e-08,0.000252867343417262,0.987312731479359,0.999999999999955
8302,RNPEPL1,8.27133123072549e-08,0.000252820317690285,0.987313911160127,0.999999999999955
4195,GTDC1,8.26888471234131e-08,0.000252745537762136,0.987315787304909,0.999999999999955
7554,PPTC7,8.24379177902008e-08,0.000251978550780586,0.987335046199919,0.999999999999955
3509,FAM227B,8.23865995673337e-08,0.000251821692240568,0.987338988497028,0.999999999999955
8138,RFX5,8.22945193915966e-08,0.000251540241303187,0.987346065232201,0.999999999999955
10253,TMSB4XP1,8.22686755280085e-08,0.000251461247322406,0.98734805214962,0.999999999999955
5619,MAST2,8.21936448955113e-08,0.000251231909773041,0.987353822393598,0.999999999999955
9993,THYN1,8.18154278177227e-08,0.000250075856906881,0.987382949436924,0.999999999999955
3028,DYNC2H1,8.17771892243326e-08,0.000249958977373716,0.987385897991117,0.999999999999955
1582,CARF,8.17428277093134e-08,0.000249853948462395,0.987388548174471,0.999999999999955
8064,RBPMS,8.17142945010332e-08,0.000249766734269408,0.987390749264376,0.999999999999955
11494,ZNF37BP,8.16714220613281e-08,0.000249635690988417,0.987394057224609,0.999999999999955
10953,VCPKMT,8.15536435403861e-08,0.000249275690859646,0.987403149275827,0.999999999999955
7200,PIK3CG,8.14535968562107e-08,0.000248969889607447,0.987410877656747,0.999999999999955
4709,IGSF22,8.13046823125316e-08,0.000248514719560553,0.987422389767144,0.999999999999955
11571,ZNF550,8.12771764665513e-08,0.000248430645588358,0.987424517310184,0.999999999999955
3990,GLI4,8.10440083592429e-08,0.000247717947313793,0.987442567057747,0.999999999999955
135,AC011043.1,8.09884345524533e-08,0.000247548081217322,0.987446872906137,0.999999999999955
4112,GPN3,8.09882248198497e-08,0.00024754744015167,0.987446889158979,0.999999999999955
3507,FAM222B,8.08729786901134e-08,0.000247195180493342,0.987455823131701,0.999999999999955
2204,CLMP,8.08413127231549e-08,0.000247098390755353,0.987458279017861,0.999999999999955
5678,MDC1,8.08173066158226e-08,0.000247025014033845,0.98746014115648,0.999999999999955
