"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"5561",0,2.95691358366344,1,0.978,0
"5564",0,2.1113605959147,0.99,0.153,0
"5597",0,-1.58797388972337,0.91,0.979,0
"5631",0,-1.42071844431649,0.797,0.951,0
"5635",0,1.31348247257303,1,0.944,0
"568",0,1.31298752503936,1,0.966,0
"5860",0,1.33307527924492,1,0.975,0
"5942",0,1.83465501716815,0.996,0.438,0
"6020",0,-1.80437334479626,0.192,0.89,0
"621",0,2.99571285098002,0.988,0.434,0
"6216",0,-4.47426784925116,0.196,0.951,0
"6282",0,-4.06997120028359,0.22,0.913,0
"6283",0,-3.79777834703304,0.007,0.98,0
"6318",0,1.48101516212388,0.943,0.225,0
"6341",0,2.217663879775,1,0.802,0
"6385",0,1.7051421569388,0.986,0.52,0
"6395",0,1.67115402665238,0.999,0.687,0
"6417",0,-3.71341051377859,0.132,0.999,0
"6483",0,2.03739406503679,1,0.976,0
"6500",0,-1.70311511547861,0.031,0.787,0
"6525",0,-1.48976034904798,0.679,0.963,0
"6548",0,1.13482228087928,1,0.972,0
"6640",0,1.23896610235976,1,0.999,0
"667",0,1.64885034236515,0.958,0.303,0
"6764",0,-1.83698110492648,0.052,0.883,0
"6782",0,-2.44117794801962,0.247,0.921,0
"6848",0,1.96407961707261,0.953,0.094,0
"6901",0,-1.23498555141548,0.016,0.75,0
"6946",0,3.09134809328395,0.997,0.001,0
"7051",0,2.36408360233755,0.996,0.163,0
"7061",0,-1.75551497253526,0.85,0.954,0
"7069",0,1.28588567316043,0.999,0.937,0
"7073",0,1.67203140390061,0.969,0.202,0
"7092",0,1.17227244237853,1,0.973,0
"7108",0,-1.94177623921747,1,0.997,0
"7135",0,-3.78046633008805,0.195,0.989,0
"7159",0,2.37015422385186,1,0.927,0
"7230",0,-2.53619957917363,0.447,0.978,0
"7233",0,1.93578684085255,0.798,0.001,0
"7287",0,-1.82970406888191,0.168,0.899,0
"7606",0,2.96456959013863,1,0.945,0
"7630",0,2.88469156453814,0.994,0.809,0
"7662",0,1.36678043994719,0.996,0.746,0
"7667",0,2.48399291571289,1,0.955,0
"7685",0,-1.30634972921686,0.993,0.98,0
"7706",0,-1.1564660986373,0.999,0.994,0
"7739",0,1.4568255397876,0.975,0.399,0
"780",0,1.87357728549886,0.994,0.534,0
"7895",0,-1.18147955366627,1,0.997,0
"8023",0,1.35027900220157,1,0.985,0
"8040",0,3.54871587995683,0.999,0.202,0
"8052",0,-2.18179512602515,0.024,0.788,0
"8106",0,-1.69010046166946,0.462,0.92,0
"8109",0,1.71817177304409,1,0.975,0
"8112",0,-2.83867004286473,0.086,0.969,0
"8124",0,-1.58355394481192,0.83,0.963,0
"8410",0,-1.68235083257831,0.026,0.777,0
"8442",0,1.85452618112233,0.99,0.315,0
"8480",0,-1.94337776708417,0.054,0.912,0
"8545",0,1.62938882239865,1,0.941,0
"8616",0,-3.48405754848882,0.098,0.963,0
"8639",0,1.29490965360654,1,0.986,0
"8650",0,1.8425262505578,0.999,0.822,0
"8784",0,1.56919812033515,0.953,0.233,0
"8789",0,-1.52393937493979,0.855,0.948,0
"8809",0,-2.19822234208592,0.779,0.99,0
"8900",0,1.41455559894623,1,0.948,0
"8971",0,1.98958706560566,0.998,0.581,0
"8985",0,-2.18451536241189,0.107,0.854,0
"8999",0,3.88357533258768,1,0.938,0
"9021",0,-4.26304636576963,0.656,0.997,0
"9022",0,2.21210891208241,1,0.994,0
"9024",0,4.35537069323245,1,0.23,0
"9025",0,-3.71370870042987,0.901,0.999,0
"9026",0,1.86917586861454,1,0.993,0
"93",0,-2.78558332490971,0.786,0.987,0
"955",0,-2.49702684140467,0.006,0.718,0
"958",0,-1.79728694392661,0.86,0.993,0
"1454",4.94065645841247e-324,1.50493790805617,0.968,0.365,4.46042465065477e-320
"4892",4.94065645841247e-324,0.913751585564206,1,0.971,4.46042465065477e-320
"7829",4.94065645841247e-324,-2.78697827488833,0.542,0.914,4.46042465065477e-320
"5998",8.89318162514244e-323,1.35522202578507,0.9,0.125,8.02876437117859e-319
"7502",3.11261356879985e-322,-1.4759237553898,0.939,0.985,2.81006752991251e-318
"8309",1.67982319586024e-321,-2.72472209517114,0.515,0.903,1.51654438122262e-317
"7980",3.34482442234524e-321,-1.42035080795319,0.635,0.94,3.01970748849328e-317
"749",1.92833821571839e-320,-1.69032756903464,0.002,0.687,1.74090374115056e-316
"4503",5.44756781104558e-320,1.41455984529806,0.93,0.202,4.91806421981195e-316
"4202",1.43051767096875e-319,-1.19215704321244,0.979,0.989,1.29147135335058e-315
"3986",2.94937922007036e-318,-1.29674344470932,0.944,0.979,2.66269955987952e-314
"8781",6.79069020992147e-318,1.57388895898218,0.961,0.329,6.1306351215171e-314
"8567",1.14465462816877e-315,-1.43573618896789,0.617,0.963,1.03339419831076e-311
"3341",7.7148396743842e-315,-1.07556403864982,0.011,0.709,6.96495725803405e-311
"1738",1.0541047708642e-311,0.940543787843188,1,0.98,9.51645787136198e-308
"802",1.33666208580509e-311,-1.45402178589016,0.601,0.92,1.20673853106484e-307
