sortid,genelist,drdist,FC,pValues,pAdjusted
3471,TSEN54,1.65187730274163e-16,0.0201213728835711,0.887198627199053,0.99999999991268
2341,PGM5P2,1.65050978447671e-16,0.0201047152632454,0.88724501637306,0.99999999991268
1394,HAT1,1.64956397310897e-16,0.0200931944177345,0.887277111807124,0.99999999991268
1219,FSTL4,1.640033162682e-16,0.0199771004498803,0.887601058338462,0.99999999991268
462,C1ORF74,1.63860366494025e-16,0.0199596878629707,0.887649728828769,0.99999999991268
3176,STMP1,1.63470663689787e-16,0.0199122185053808,0.887782522066043,0.99999999991268
3034,SMIM10L1,1.62838833619626e-16,0.0198352558373929,0.887998164928686,0.99999999991268
2085,NETO2,1.6276411104997e-16,0.0198261539465662,0.888023695846762,0.99999999991268
2002,MUC16,1.61759465885507e-16,0.0197037789981588,0.888367541204898,0.99999999991268
1829,MAPK12,1.61148439391249e-16,0.0196293503955483,0.888577201086002,0.99999999991268
3137,SSBP2,1.60206943306646e-16,0.0195146675813025,0.888901049048217,0.99999999991268
2211,OPHN1,1.59850163887791e-16,0.0194712085924778,0.889024024453345,0.99999999991268
2624,RBMS2,1.5958790441914e-16,0.0194392629960813,0.889114509789301,0.99999999991268
327,ATP5F1A,1.59456163721301e-16,0.0194232157769522,0.889159991853529,0.99999999991268
3238,TBC1D17,1.59360262370694e-16,0.0194115341173495,0.889193112814579,0.99999999991268
152,AKT3,1.58919408468721e-16,0.0193578340893023,0.889345499137325,0.99999999991268
1351,GRN,1.58261329575556e-16,0.0192776740751524,0.8895733732414,0.99999999991268
1349,GRINA,1.5781682939838e-16,0.0192235298975131,0.889727564432713,0.99999999991268
594,CD69,1.5776258477375e-16,0.0192169224072516,0.889746396315109,0.99999999991268
709,CNBP,1.57591723366035e-16,0.0191961099286836,0.889805735140538,0.99999999991268
3635,YIPF2,1.57431316961176e-16,0.019176570964865,0.889861472870178,0.99999999991268
1169,FCGR2A,1.55753331726306e-16,0.0189721770516615,0.890446279796964,0.99999999991268
2681,RNASE1,1.55710537145029e-16,0.0189669642811619,0.890461236322987,0.99999999991268
1880,METTL21A,1.55451164324896e-16,0.0189353703048957,0.890551930878185,0.99999999991268
2800,RUNX2,1.5520014473106e-16,0.0189047938278155,0.890639778011965,0.99999999991268
1939,MRPL3,1.54615442297862e-16,0.0188335717360488,0.890844682301204,0.99999999991268
2838,SCD,1.5428035624105e-16,0.0187927551966727,0.890962288488253,0.99999999991268
3761,ZNF771,1.5387501491448e-16,0.0187433809243614,0.891104726417021,0.99999999991268
1682,L2HGDH,1.53126917381124e-16,0.0186522558184171,0.891368112479873,0.99999999991268
1524,IFNGR2,1.52623595644947e-16,0.0185909466381456,0.891545688199696,0.99999999991268
544,CCDC88A,1.5255420190423e-16,0.0185824938473091,0.891570194218085,0.99999999991268
1117,FAM122C,1.5252500073892e-16,0.0185789368789141,0.891580508146347,0.99999999991268
2716,RORA,1.52435303136768e-16,0.0185680108924823,0.891612195865412,0.99999999991268
2074,NECAP1,1.50994377477474e-16,0.0183924929987499,0.892122543168703,0.99999999991268
2039,NARS1,1.50925218363655e-16,0.0183840687876106,0.892147100195425,0.99999999991268
3781,ZSCAN18,1.50376546251955e-16,0.0183172355177787,0.892342126150178,0.99999999991268
2728,RPL15,1.49883525513627e-16,0.0182571810930417,0.892517680058463,0.99999999991268
2383,PLA2G7,1.49573749996874e-16,0.0182194476084031,0.892628134781285,0.99999999991268
1287,GIMAP4,1.49514991599786e-16,0.0182122902994681,0.892649099032679,0.99999999991268
3634,YIF1B,1.48801144361133e-16,0.0181253371919521,0.892904126462238,0.99999999991268
1943,MRPL9,1.48059309509979e-16,0.0180349749378469,0.893169813472288,0.99999999991268
1469,HOOK2,1.47194830621611e-16,0.0179296735208836,0.893480281603817,0.99999999991268
3171,STK17B,1.46952093090754e-16,0.0179001058746479,0.893567624908266,0.99999999991268
1601,ITGB2,1.46797666241066e-16,0.0178812952752127,0.893623229944296,0.99999999991268
2821,SAMSN1,1.46057230836517e-16,0.0177911034864738,0.893890255714563,0.99999999991268
927,DNAJC4,1.45960307640535e-16,0.0177792973567803,0.893925260404298,0.99999999991268
1491,HSPA8,1.45889159145146e-16,0.0177706308208126,0.89395096385683,0.99999999991268
2506,PRPF8,1.45188556040892e-16,0.0176852909697191,0.894204408603942,0.99999999991268
824,CYP27A1,1.44338389776985e-16,0.0175817329610176,0.89451279538472,0.99999999991268
3118,SRP54,1.44313417826112e-16,0.0175786911495324,0.894521867588826,0.99999999991268
592,CD6,1.43970659413407e-16,0.0175369400471984,0.894646471081796,0.99999999991268
1200,FNBP1,1.43599810852172e-16,0.017491767308451,0.894781456335702,0.99999999991268
3537,UFSP2,1.42919079499083e-16,0.0174088480179788,0.895029698256376,0.99999999991268
2258,PAG1,1.42506211260404e-16,0.0173585568990897,0.89518055179977,0.99999999991268
798,CTSC,1.42343240659444e-16,0.0173387055927878,0.895240159087229,0.99999999991268
80,ACBD3,1.41965379969704e-16,0.017292678712803,0.895378497158522,0.99999999991268
480,CACUL1,1.41867468234783e-16,0.0172807521700462,0.895414374036021,0.99999999991268
278,ARHGEF3,1.41285948966054e-16,0.0172099178167582,0.895627714696952,0.99999999991268
733,COL8A1,1.412628700837e-16,0.0172071065982929,0.895636190799842,0.99999999991268
3669,ZFAND5,1.41214016118677e-16,0.0172011557395612,0.895654135553712,0.99999999991268
2676,RMC1,1.41177439511473e-16,0.0171967003750427,0.895667572727031,0.99999999991268
1969,MT-ND3,1.41176545897852e-16,0.0171965915247494,0.895667901036637,0.99999999991268
1395,HAVCR2,1.40763422414718e-16,0.0171462693147565,0.895819794093875,0.99999999991268
2988,SLC39A8,1.40543517539441e-16,0.0171194828943183,0.895900738955814,0.99999999991268
3104,SPTAN1,1.3974336641682e-16,0.0170220171862131,0.896195811762613,0.99999999991268
734,COPB1,1.38890068001668e-16,0.0169180776529091,0.896511431981241,0.99999999991268
955,DST,1.38229831049027e-16,0.0168376547674227,0.896756319288876,0.99999999991268
1519,IFIT3,1.38220438234232e-16,0.0168365106368713,0.896759807446485,0.99999999991268
336,ATP6V1B2,1.38165084626786e-16,0.0168297680623834,0.896780366257385,0.99999999991268
550,CCL7,1.38068047005278e-16,0.0168179479946164,0.896816416981077,0.99999999991268
2934,SIRPB1,1.37867503631865e-16,0.0167935199817788,0.896890962264988,0.99999999991268
3112,SRGAP2,1.37365587172547e-16,0.0167323819770518,0.897077774898822,0.99999999991268
1786,LTA4H,1.37346840173498e-16,0.0167300984215015,0.897084759223775,0.99999999991268
946,DPY19L2P2,1.37328668744567e-16,0.0167278849756436,0.897091529578634,0.99999999991268
1510,IER3,1.36135568291097e-16,0.0165825544533828,0.897537058731312,0.99999999991268
325,ATP2A3,1.35107248122464e-16,0.0164572956734332,0.897922650486692,0.99999999991268
15,ABCC9,1.34981125543195e-16,0.0164419327924112,0.897970045527094,0.99999999991268
837,DAPK1,1.34846447826126e-16,0.0164255278175396,0.898020680319299,0.99999999991268
2331,PEX26,1.34600305343789e-16,0.0163955454171436,0.898113288982919,0.99999999991268
1025,ELF4,1.34302884762094e-16,0.0163593168763337,0.898225305423893,0.99999999991268
1424,HHLA1,1.33755410633951e-16,0.0162926295318306,0.898431828715905,0.99999999991268
3098,SPP1,1.33595470042032e-16,0.0162731473082788,0.89849224403869,0.99999999991268
2452,PPIL6,1.33550695480065e-16,0.0162676933580638,0.898509163587335,0.99999999991268
2054,NCKAP1,1.332833596752e-16,0.016235129417595,0.898610245297692,0.99999999991268
389,BCLAF1,1.32864768891768e-16,0.0161841412405368,0.898768724832213,0.99999999991268
2089,NFAT5,1.3225339696843e-16,0.0161096705615123,0.899000648333145,0.99999999991268
2639,REM2,1.31143908174039e-16,0.0159745247022828,0.899422927550906,0.99999999991268
2545,PTOV1,1.30991729506537e-16,0.0159559879519524,0.899480989141031,0.99999999991268
2737,RPL28,1.3075543357885e-16,0.0159272049517624,0.899571212416946,0.99999999991268
2147,NQO2,1.30285724225315e-16,0.0158699900664093,0.899750804642141,0.99999999991268
2602,RASEF,1.3001138329169e-16,0.0158365728373358,0.899855850390941,0.99999999991268
3023,SMARCB1,1.29900518284139e-16,0.0158230684677742,0.899898332785784,0.99999999991268
2177,NUB1,1.28706622035074e-16,0.0156776410103482,0.900356994331605,0.99999999991268
