Ligand.ApprovedSymbol	Receptor.ApprovedSymbol
IFNA8	IFNAR2
IFNB1	IFNAR1
IFNB1	IFNAR2
IFNG	IFNGR1
IFNG	IFNGR2
IFNL1	IFNLR1
IFNL1	IL10RB
IFNL2	IFNLR1
IFNL2	IL10RB
IFNL3	IFNLR1
IFNL3	IL10RB
IFNW1	IFNAR1
IFNW1	IFNAR2
IGF1	IGF1R
IGF1	INSR
IGF2	IGF1R
IGF2	IGF2R
IGF2	INSR
IGFBP4	FZD8
IGFBP4	LRP6
IGFL1	IGFLR1
IGFL2	IGFLR1
IGFL3	IGFLR1
IHH	BOC
IHH	CDON
IHH	HHIP
IHH	PTCH1
IHH	PTCH2
IL10	IL10RA
IL10	IL10RB
IL10	SIRPG
IL11	IL11RA
IL11	IL6ST
IL12A	CD28
IL12A	IL12RB1
IL12A	IL12RB2
IL12B	IL12RB1
IL12B	IL12RB2
IL12B	IL23R
IL13	IL13RA1
IL13	IL13RA2
IL13	IL2RG
IL13	IL4R
IL15	IL15RA
IL15	IL2RA
IL15	IL2RB
IL15	IL2RG
IL16	CCR5
IL16	CD4
IL16	GRIN2C
IL16	GRIN2D
IL16	KCNA3
IL16	KCND1
IL16	KCND2
IL16	KCNJ10
IL16	KCNJ15
IL16	KCNJ4
IL17A	IL17RA
IL17A	IL17RC
IL17B	IL17RB
IL17F	IL17RA
IL18	CD48
IL18	IL18R1
IL18	IL18RAP
IL18	IL1RAPL1
IL18	IL1RL2
IL19	IL20RA
IL19	IL20RB
IL1A	IL1R1
IL1A	IL1R2
IL1A	IL1RAP
IL1B	ADRB2
IL1B	IL1R1
IL1B	IL1R2
IL1B	IL1RAP
IL1F10	IL1R1
IL1RN	IL1R1
IL1RN	IL1R2
IL1RN	IL1RL2
IL20	IL20RA
IL20	IL20RB
IL20	IL22RA1
IL21	IL21R
IL21	IL2RG
IL22	IL10RA
IL22	IL10RB
IL22	IL21R
IL22	IL22RA1
IL22	IL22RA2
IL23A	IL12RB1
IL23A	IL23R
IL24	IL20RA
IL24	IL20RB
IL24	IL22RA1
IL25	IL17RB
IL26	IL20RA
IL27	IL27RA
IL2	CD53
IL2	GYPE
IL2	IL2RA
IL2	IL2RB
IL2	IL2RG
IL2	NGFR
IL31	IL31RA
IL31	OSMR
IL34	CSF1R
IL3	CSF2RB
IL3	IL3RA
IL4	CD53
IL4	IL13RA1
IL4	IL13RA2
IL4	IL2RG
IL4	IL4R
IL5	CSF2RB
IL5	IL5RA
IL6	F3
IL6	IL6R
IL6	IL6ST
IL7	IL2RG
IL7	IL7R
IL8	CD79A
IL8	CXCR1
IL8	CXCR2
IL8	DARC
IL8	KDR
IL8	SDC1
IL8	SDC2
IL8	SDC3
IL9	IL2RG
IL9	IL9R
INHA	ACVR1
INHA	ACVR1B
INHA	ACVR2A
INHA	ACVR2B
INHA	TGFBR3
INHBA	ACVR1
INHBA	ACVR1B
INHBA	ACVR2A
INHBA	ACVR2B
INHBA	BAMBI
INHBA	ENG
INHBA	TGFBR3
INHBB	ACVR1
INHBB	ACVR1B
INHBB	ACVR1C
INHBB	ACVR2A
INHBB	ACVR2B
INHBC	ACVR1
INHBC	ACVR1B
INHBC	ACVR2A
INHBC	ACVR2B
INHBE	ACVR1
INHBE	ACVR1B
INHBE	ACVR2A
INHBE	ENG
INSL3	RXFP2
INSL5	RXFP3
INSL5	RXFP4
INS	IGF1R
INS	INSR
INS	LRP2
ITGB3BP	ITGB3
ITGB3BP	ITGB5
ITIH2	FCER1A
JAG1	NOTCH1
JAG1	NOTCH2
JAG1	NOTCH3
JAG1	NOTCH4
JAG2	NOTCH1
JAG2	NOTCH2
JAG2	NOTCH3
JAG2	NOTCH4
KAL1	FGFR1
KAL1	SDC2
KISS1	KISS1R
KISS1	MMP24
KITLG	EPOR
KITLG	KIT
KLK3	EPOR
KNG1	BDKRB1
KNG1	BDKRB2
KNG1	CD93
KNG1	GP1BA
KNG1	GPR135
KNG1	ITGAM
KNG1	ITGB2
KNG1	PLAUR
KNG1	RXFP4
KNG1	SDC2
KRTAP4-12	AQP1
KRTAP4-12	CATSPER1
KRTAP4-12	CLDN2
KRTAP4-12	CNTFR
KRTAP4-12	LINGO1
KRTAP4-12	PDGFRB
KRTAP4-12	PLSCR4
L1CAM	CNTN1
L1CAM	EGFR
L1CAM	EPHB2
L1CAM	ERBB2
L1CAM	ERBB3
L1CAM	FGFR2
L1CAM	ITGA5
L1CAM	ITGAV
LACRT	SDC1
LAMA1	GPC1
LAMA1	ITGA1
LAMA1	ITGA2
LAMA1	ITGA3
LAMA1	ITGA6
LAMA1	ITGA7
LAMA1	ITGB1
LAMA1	ITGB4
LAMA1	ITGB8
LAMA1	NT5E
LAMA1	RPSA
LAMA1	SDC2
LAMA1	SDC4
LAMA1	TMPRSS6
LAMA2	ITGA1
LAMA2	ITGA2
LAMA2	ITGA3
LAMA2	ITGA6
LAMA2	ITGA7
LAMA2	ITGB1
LAMA2	ITGB4
LAMA2	RPSA
LAMA3	SDC2
LAMA4	ITGA3
LAMA4	ITGA6
LAMA4	ITGAV
LAMA4	ITGB1
LAMA5	BCAM
LAMA5	ITGA2
LAMA5	ITGA3
LAMA5	ITGA6
LAMA5	ITGB1
LAMA5	ITGB4
LAMA5	SDC1
LAMB1	ITGA1
LAMB1	ITGA2
LAMB1	ITGA3
LAMB1	ITGA6
LAMB1	ITGA7
LAMB1	ITGAV
LAMB1	ITGB1
LAMB1	ITGB4
LAMB2	RPSA
LAMB3	CD151
LAMB3	COL17A1
LAMB3	ITGA2
LAMB3	ITGA3
LAMB3	ITGA6
LAMB3	ITGB1
LAMB3	ITGB4
LAMC1	ITGA1
LAMC1	ITGA2
LAMC1	ITGA3
LAMC1	ITGA6
LAMC1	ITGA7
LAMC1	ITGAV
LAMC1	ITGB1
LAMC1	ITGB4
LAMC2	CD151
LAMC2	COL17A1
LAMC2	ITGA2
LAMC2	ITGA3
LAMC2	ITGA6
LAMC2	ITGB1
LAMC2	ITGB4
LAMC3	ITGA2
LAMC3	ITGA3
LAMC3	ITGA6
LAMC3	ITGB1
LAMC3	ITGB4
LCN1	LMBR1L
LCN2	LRP2
LEFTY2	ACVR2B
LEP	LEPR
LEP	LRP2
LGALS3BP	ITGB1
LGALS3BP	VANGL1
LHB	LHCGR
LIF	IL6ST
LIF	LIFR
LIN7C	ABCA1
LIN7C	HTR2C
LIN7C	KCNJ4
LIPC	LRP1
LIPH	LPAR1
LIPH	LPAR2
LIPH	LPAR4
LPA	ITGAM
LPA	ITGB2
LPA	LRP2
LPL	CD44
LPL	GPIHBP1
LPL	LRP1
LPL	LRP2
LPL	SDC1
LPL	VLDLR
LRP1B	PLAUR
LRPAP1	LDLR
LRPAP1	LRP1
LRPAP1	LRP2
LRPAP1	LRP8
LRPAP1	SORL1
LRPAP1	SORT1
LRPAP1	VLDLR
LTA	CACHD1
LTA	EDNRA
LTA	LTBR
LTA	TNFRSF14
LTA	TNFRSF1A
LTA	TNFRSF1B
LTBP1	ITGB5
LTBP3	ITGB5
LTB	CD40
LTB	LTBR
LTB	TNFRSF1A
LTF	GP9
LTF	GPR162
LTF	LRP1
LTF	LRP11
LTF	TFRC
LY6G5C	TMEM8A
LY86	CD180
LYPD3	AGR2
LYZ	ITGAL
MADCAM1	CD44
MADCAM1	ITGA4
MADCAM1	ITGB7
MATN1	ITGA1
MATN1	ITGB1
MATN1	PTPRD
MBL2	CALCR
MBL2	CD93
MDK	ALK
MDK	GPC2
MDK	ITGA4
MDK	ITGA6
MDK	ITGB1
MDK	LRP1
MDK	LRP2
MDK	PTPRB
MDK	PTPRZ1
MDK	SDC1
MDK	SDC3
MDK	SDC4
MDK	TSPAN1
MEPE	PHEX
MFAP2	NOTCH1
MFAP5	NOTCH1
MFGE8	ITGAV
MFGE8	ITGB3
MFGE8	PDGFRB
MFI2	TFRC
MFNG	NOTCH1
MFNG	NOTCH2
MIA	CDH19
MIA	CDH7
MLLT4	EPHA7
MLLT4	EPHB2
MLLT4	EPHB3
MLLT4	EPHB6
MLLT4	F11R
MLLT4	NRXN2
MLLT4	NRXN3
MLLT4	PVRL1
MLLT4	PVRL2
MLLT4	PVRL3
MLLT4	PVRL4
MLN	MLNR
MMP12	PLAUR
MMP13	LRP1
MMP1	CD44
MMP1	ITGA2
MMP2	SDC2
MMP7	CD151
MMP7	CD44
MMP7	CDH6
MMP7	ERBB4
MMP9	CD44
MMP9	EPHB2
MMP9	ITGAM
MMP9	ITGB2
MMP9	LRP1
MST1	MST1R
MSTN	ACVR2B
MUC2	AGR2
MUC7	SELL
MYOC	FZD1
MYOC	FZD10
MYOC	FZD3
MYOC	FZD4
MYOC	FZD7
NAMPT	INSR
NCAM1	CACNA1C
NCAM1	FGFR1
NCAM1	FGFR2
NCAM1	GFRA1
NCAM1	PTPRA
NCAM1	ROBO1
NCAM1	ROBO3
NCAN	CDH2
NCAN	SDC3
NDP	FZD4
NDP	LGR4
NGF	KIDINS220
NGF	MAGED1
NGF	NGFR
NGF	NGFRAP1
NGF	NTRK1
NGF	SORCS3
NGF	SORT1
NID1	COL13A1
NID1	ITGA3
NID1	ITGAV
NID1	ITGB1
NID1	ITGB3
NID1	PTPRF
NID2	COL13A1
NLGN1	NRXN1
NLGN1	NRXN2
NLGN1	NRXN3
NLGN2	NRXN1
NLGN2	NRXN2
NLGN2	NRXN3
NLGN3	NRXN1
NLGN3	NRXN2
NLGN3	NRXN3
NMB	BRS3
NMB	GRPR
NMB	NMBR
NMS	NMUR1
NMS	NMUR2
NMU	NMUR1
NMU	NMUR2
NODAL	ACVR1B
NODAL	ACVR1C
NODAL	ACVR2A
NODAL	ACVR2B
NOV	NOTCH1
NOV	PLXNA1
NPB	NPBWR1
NPB	NPBWR2
NPFF	NPFFR1
NPFF	NPFFR2
NPNT	ITGA8
NPNT	ITGB1
NPPA	NPR1
NPPA	NPR3
NPPB	NPR1
NPPB	NPR2
NPPB	NPR3
NPPC	NPR2
NPPC	NPR3
NPS	NPSR1
NPVF	NPFFR1
NPVF	NPFFR2
NPW	NPBWR1
NPW	NPBWR2
NPY	FAP
NPY	MC4R
NPY	NPFFR2
NPY	NPY1R
NPY	NPY2R
NPY	NPY4R
NPY	NPY5R
NPY	PRLHR
NRG1	ERBB2
NRG1	ERBB3
NRG1	ERBB4
NRG1	GPC1
NRG2	ERBB2
NRG2	ERBB3
NRG2	ERBB4
NRG3	ERBB4
NRG4	EGFR
NRG4	ERBB2
NRG4	ERBB4
NRTN	GFRA1
NRTN	GFRA2
NRTN	RET
NTF3	NGFR
NTF3	NTRK1
NTF3	NTRK2
NTF3	NTRK3
NTF4	NGFR
NTF4	NGFRAP1
NTF4	NTRK1
NTF4	NTRK2
NTF4	NTRK3
NTN1	ADORA2B
NTN1	DCC
NTN1	NEO1
NTN1	UNC5A
NTN1	UNC5B
NTN1	UNC5C
NTN1	UNC5D
NTN3	CDON
NTN3	NEO1
NTN4	DCC
NTN4	UNC5A
NTNG1	LRRC4C
NTNG2	LRRC4
NTNG2	LRRC4C
NTS	NGFR
NTS	NTSR1
NTS	NTSR2
NTS	SORT1
NXPH1	NRXN1
NXPH1	NRXN2
NXPH1	NRXN3
NXPH2	NRXN1
NXPH3	NRXN1
NXPH3	NRXN2
NXPH3	NRXN3
OBP2A	OR1G1
OLAH	MOG
OLFM2	ROBO2
OMG	LINGO1
OMG	NGFR
OMG	RTN4R
OMG	RTN4RL1
OMG	TNFRSF1B
ORM1	CCR5
OSM	IL6ST
OSM	LIFR
OSM	OSMR
OSTN	NPR3
OXT	AVPR1A
OXT	AVPR1B
OXT	AVPR2
OXT	OXTR
P4HB	GPR162
PAPLN	PVRL4
PAPLN	SIRPA
PCSK9	VLDLR
PDAP1	PDGFRB
PDGFA	PDGFRA
PDGFA	PDGFRB
PDGFB	ART1
PDGFB	ITGAV
PDGFB	LRP1
PDGFB	PDGFRA
PDGFB	PDGFRB
PDGFB	S1PR1
PDGFC	FLT1
PDGFC	FLT4
PDGFC	KDR
PDGFC	PDGFRA
PDGFC	PDGFRB
PDGFD	PDGFRA
PDGFD	PDGFRB
PDYN	OPRD1
PDYN	OPRK1
PDYN	OPRM1
PENK	MRGPRX1
PENK	OGFR
PENK	OPRD1
PENK	OPRK1
PENK	OPRM1
PF4	CXCR3
PF4	FGFR2
PF4	LDLR
PF4	PROCR
PF4	SDC2
PF4	THBD
PGF	FLT1
PGF	NRP1
PGF	NRP2
PI3	PLD2
PIGF	FLT1
PIP	CD4
PIP	NPTN
PKM	CD44
PLA2G10	PLA2R1
PLAT	ITGAM
PLAT	ITGB2
PLAT	LRP1
PLAU	IGF2R
PLAU	ITGA3
PLAU	ITGA5
PLAU	ITGAM
PLAU	ITGAV
PLAU	ITGB1
PLAU	ITGB2
PLAU	ITGB5
PLAU	LRP1
PLAU	LRP2
PLAU	MRC2
PLAU	PLAUR
PLAU	ST14
PLAU	VLDLR
PLG	F2R
PLG	F2RL1
PLG	F3
PLG	FLT1
PLG	ITGA9
PLG	ITGAM
PLG	ITGB1
PLG	ITGB2
PLG	PLAUR
PLG	PLGRKT
PLTP	ABCA1
PMCH	MCHR1
PMCH	MCHR2
PNOC	OPRL1
PODXL2	SELL
PODXL	SELL
POMC	MC1R
POMC	MC2R
POMC	MC3R
POMC	MC4R
POMC	MC5R
POMC	OPRD1
POMC	OPRK1
POMC	OPRM1
PON2	HTR2A
PPBP	CXCR1
PPBP	CXCR2
PPBP	DARC
PPY	NPY1R
PPY	NPY2R
PPY	NPY4R
PPY	NPY5R
PRLH	PRLHR
PRL	PRLR
PRND	RPSA
PROC	ITGAM
PROC	ITGB2
PROC	PROCR
PROC	THBD
PROK1	PROKR1
PROK1	PROKR2
PROK2	PROKR1
PROK2	PROKR2
PROS1	AXL
PROS1	TYRO3
PRSS23	TMEM222
PSAP	CD1B
PSAP	CELSR1
PSAP	GPR37
PSAP	GPR37L1
PSAP	LRP1
PSAP	SORT1
PSEN1	CD44
PSEN1	NCSTN
PSEN1	NOTCH1
PSEN1	NOTCH2
PSEN1	NOTCH3
PSEN1	NOTCH4
PSPN	GFRA1
PSPN	GFRA4
PSPN	RET
PSPN	SDC3
PTDSS1	JMJD6
PTDSS1	SCARB1
PTGS2	CAV1
PTGS2	PTGDR2
PTH2	PTH1R
PTH2	PTH2R
PTHLH	PRLHR
PTHLH	PTH1R
PTHLH	PTH2R
PTH	PTH1R
PTH	PTH2R
PTMA	VIPR1
PTN	ALK
PTN	CDH10
PTN	PLXNB2
PTN	PTPRB
PTN	PTPRS
PTN	PTPRZ1
PTN	SDC1
PTN	SDC3
PYY	FAP
PYY	NPY1R
PYY	NPY2R
PYY	NPY4R
PYY	NPY5R
QDPR	DYSF
QRFP	P2RY14
QRFP	QRFPR
RAET1E	KLRK1
RARRES2	CCRL2
RARRES2	CMKLR1
RARRES2	GPR1
RBP3	NOTCH1
RBP4	STRA6
RELN	ITGA3
RELN	ITGB1
RELN	LRP8
RELN	VLDLR
REN	ASIC3
REN	ATP6AP2
RGMA	BMPR1B
RGMA	BMPR2
RGMA	HFE2
RGMA	NEO1
RGMB	BMPR1B
RGMB	BMPR2
RGMB	HFE2
RGMB	NEO1
RIMS1	CACNA1C
RIMS1	SLC17A7
RIMS1	SLC18A2
RIMS1	SLC18A3
RIMS2	ABCA1
RLN1	RXFP1
RLN1	RXFP2
RLN2	RXFP1
RLN2	RXFP2
RLN3	RXFP1
RLN3	RXFP2
RLN3	RXFP3
RLN3	RXFP4
RNASE2	TLR2
RPH3A	NRXN1
RPS19	C5AR1
RSPO1	FZD8
RSPO1	LGR4
RSPO1	LGR5
RSPO1	LGR6
RSPO1	LRP6
RSPO1	ZNRF3
RSPO2	LGR4
RSPO2	LGR5
RSPO2	LGR6
RSPO3	FZD8
RSPO3	LGR4
RSPO3	LGR5
RSPO3	LGR6
RSPO3	LRP6
RSPO3	SDC4
RSPO4	LGR4
RSPO4	LGR5
RSPO4	LGR6
RTN4	CNTNAP1
RTN4	GJB2
RTN4	LINGO1
RTN4	NGFR
RTN4	RTN4R
RTN4	RTN4RL1
RTN4	TNFRSF19
S100A8	TLR4
S100A9	TLR4
SAA1	FPR1
SAA1	FPR2
SAA1	SCARB1
SCGB1A1	LMBR1L
SCGB1A1	LRP2
SCGB3A1	MARCO
SCGB3A2	MARCO
SCT	SCTR
SCT	VIPR1
SCT	VIPR2
SELPLG	ESAM
SELPLG	ITGAM
SELPLG	ITGB2
SELPLG	SELE
SELPLG	SELL
SELPLG	SELP
SEMA3A	NRP1
SEMA3A	NRP2
SEMA3A	PLXNA1
SEMA3A	PLXNA2
SEMA3A	PLXNA3
SEMA3A	PLXNA4
SEMA3B	NRP1
SEMA3B	NRP2
SEMA3C	NRP1
SEMA3C	NRP2
SEMA3C	PLXND1
SEMA3D	NRP1
SEMA3E	NRP1
SEMA3E	PLXND1
SEMA3F	NRP1
SEMA3F	NRP2
SEMA3F	PLXNA1
SEMA3F	PLXNA3
SEMA3G	NRP2
SEMA4A	PLXND1
SEMA4B	DCBLD2
SEMA4C	PLXNB2
SEMA4D	CD72
SEMA4D	ERBB2
SEMA4D	MET
SEMA4D	PLXNB1
SEMA4D	PLXNB2
SEMA4F	NRP2
SEMA4G	PLXNB2
SEMA5A	MET
SEMA5A	PLXNB3
SEMA6A	PLXNA2
SEMA6A	PLXNA4
SEMA6D	KDR
SEMA6D	PLXNA1
SEMA6D	TREM2
SEMA6D	TYROBP
SEMA7A	ITGA1
SEMA7A	ITGB1
SEMA7A	PLXNC1
SERPINA1	LRP1
SERPINA7	SLC16A2
SERPINC1	GPC1
SERPINC1	LRP1
SERPINC1	SDC2
SERPINE1	ITGAV
SERPINE1	ITGB5
SERPINE1	LRP1
SERPINE1	LRP2
SERPINE1	PLAUR
SERPINE2	LRP1
SERPING1	LRP1
SERPING1	SELE
SERPING1	SELP
SFRP1	FZD2
SFRP1	FZD6
SFTPA1	TLR2
SFTPA2	CD93
SFTPD	LY96
SFTPD	TLR4
SHANK1	ABCA1
SHANK1	BAI2
SHANK1	LPHN1
SHANK1	LPHN2
SHANK1	SSTR2
SHBG	CD177
SHBG	CLDN4
SHBG	SLC37A1
SHH	BOC
SHH	CDON
SHH	GPC5
SHH	HHIP
SHH	LRP2
SHH	PTCH1
SHH	PTCH2
SHH	SMO
SLIT1	GPC1
SLIT1	ROBO1
SLIT1	SDC1
SLIT2	DCC
SLIT2	GPC1
SLIT2	ROBO1
SLIT2	ROBO2
SLIT2	ROBO4
SLIT2	SDC1
SLIT3	ROBO2
SLPI	CD4
SORBS1	INSR
SORBS1	ITGA1
SORBS1	ITGB5
SOST	LRP5
SOST	LRP6
SPINK1	EGFR
SPINK1	NRSN1
SPINT1	ST14
SPON2	ITGAM
SPON2	ITGB2
SPP1	CD44
SPP1	ITGA4
SPP1	ITGA5
SPP1	ITGA9
SPP1	ITGAV
SPP1	ITGB1
SPP1	S1PR1
SST	SSTR1
SST	SSTR2
SST	SSTR3
SST	SSTR4
SST	SSTR5
SYTL3	NRXN1
TAC1	TACR1
TAC1	TACR2
TAC1	TACR3
TAC3	TACR1
TAC3	TACR2
TAC3	TACR3
TAC4	TACR1
TAC4	TACR2
TAC4	TACR3
TCN2	CNR1
TCN2	LRP2
TCTN1	TMEM67
TDGF1	ACVR1B
TDGF1	ACVR1C
TDGF1	ACVR2A
TDGF1	ACVR2B
TDGF1	GPC1
TFPI	F3
TFPI	LRP1
TFPI	SDC4
TFPI	VLDLR
TF	GPR162
TF	TFR2
TF	TFRC
TGFA	EGFR
TGFA	ERBB2
TGFA	ERBB3
TGFA	ERBB4
TGFB1	ACVRL1
TGFB1	CAV1
TGFB1	CD109
TGFB1	CXCR4
TGFB1	ENG
TGFB1	ITGAV
TGFB1	ITGB6
TGFB1	ITGB8
TGFB1	SDC2
TGFB1	TGFBR1
TGFB1	TGFBR2
TGFB1	TGFBR3
TGFB2	ACVR1
TGFB2	ENG
TGFB2	TGFBR1
TGFB2	TGFBR2
TGFB2	TGFBR3
TGFB3	ACVRL1
TGFB3	ENG
TGFB3	TGFBR1
TGFB3	TGFBR2
TGFB3	TGFBR3
TGM2	GPR56
TGM2	ITGA4
TGM2	ITGA9
TGM2	ITGB1
TGM2	ITGB3
TGM2	SDC4
TGM2	TBXA2R
TG	ASGR1
TG	LRP2
THBS1	CD36
THBS1	CD47
THBS1	ITGA2B
THBS1	ITGA3
THBS1	ITGA4
THBS1	ITGA6
THBS1	ITGB1
THBS1	ITGB3
THBS1	LRP1
THBS1	LRP5
THBS1	SCARB1
THBS1	SDC1
THBS1	SDC4
THBS1	TNFRSF11B
THBS2	CD47
THBS2	ITGA4
THBS2	ITGA6
THBS2	ITGB1
THBS2	NOTCH3
THBS2	NOTCH4
THPO	MPL
THPO	SIRPB1
TIMP1	CD63
TIMP2	ITGA3
TIMP2	ITGB1
TIMP3	AGTR2
TIMP3	KDR
TNC	CNTN1
TNC	EGFR
TNC	ITGA2
TNC	ITGA5
TNC	ITGA7
TNC	ITGA8
TNC	ITGA9
TNC	ITGAV
TNC	ITGB1
TNC	NT5E
TNC	PTPRB
TNC	PTPRZ1
TNC	SDC1
TNC	SDC4
TNFSF10	TNFRSF10A
TNFSF10	TNFRSF10B
TNFSF10	TNFRSF10C
TNFSF10	TNFRSF10D
TNFSF10	TNFRSF11B
TNFSF11	TNFRSF11A
TNFSF11	TNFRSF11B
TNFSF12	TNFRSF12A
TNFSF12	TNFRSF25
TNFSF13B	TNFRSF13B
TNFSF13B	TNFRSF13C
TNFSF13B	TNFRSF17
TNFSF13	FAS
TNFSF13	SDC2
TNFSF13	TNFRSF11B
TNFSF13	TNFRSF13B
TNFSF13	TNFRSF14
TNFSF13	TNFRSF17
TNFSF13	TNFRSF1A
TNFSF14	LTBR
TNFSF14	TNFRSF14
TNFSF14	TNFRSF6B
TNFSF15	TNFRSF25
TNFSF15	TNFRSF6B
TNFSF18	TNFRSF18
TNFSF4	TNFRSF4
TNFSF4	TRAF2
TNFSF8	TNFRSF8
TNFSF9	TNFRSF9
TNFSF9	TRAF2
TNF	LTBR
TNF	SLC5A11
TNF	TNFRSF1A
TNF	TNFRSF1B
TNF	TNFRSF21
TNF	TRAF2
TRH	TRHR
TSHB	TSHR
TSLP	IL7R
UCN2	CRHR1
UCN2	CRHR2
UCN2	IL10RB
UCN3	CRHR1
UCN3	CRHR2
UCN3	IL10RB
UCN	CRHR1
UCN	CRHR2
ULBP2	KLRK1
UTS2B	UTS2R
UTS2	UTS2R
VASP	CXCR2
VCAM1	ITGA4
VCAM1	ITGA9
VCAM1	ITGAD
VCAM1	ITGB1
VCAM1	ITGB2
VCAM1	ITGB7
VCAN	CD44
VCAN	EGFR
VCAN	ITGA4
VCAN	ITGB1
VCAN	SELL
VCAN	SELP
VCAN	TLR1
VCAN	TLR2
VEGFA	EGFR
VEGFA	EPHB2
VEGFA	FLT1
VEGFA	GPC1
VEGFA	ITGA9
VEGFA	ITGAV
VEGFA	ITGB1
VEGFA	KDR
VEGFA	NRP1
VEGFA	NRP2
VEGFA	RET
VEGFA	SIRPA
VEGFA	TYRO3
VEGFB	FLT1
VEGFB	NRP1
VEGFB	RET
VEGFB	TYRO3
VEGFC	FLT1
VEGFC	FLT4
VEGFC	ITGA9
VEGFC	ITGB1
VEGFC	KDR
VEGFC	LYVE1
VEGFC	NRP2
VEGFC	VIPR2
VIM	CD44
VIP	ADCYAP1R1
VIP	NPR3
VIP	SCTR
VIP	VIPR1
VIP	VIPR2
VTN	CD47
VTN	ITGA2B
VTN	ITGA3
VTN	ITGA5
VTN	ITGA8
VTN	ITGAV
VTN	ITGB1
VTN	ITGB3
VTN	ITGB5
VTN	ITGB6
VTN	ITGB8
VTN	KDR
VTN	PLAUR
VTN	PVR
VTN	TNFRSF11B
VWF	GP1BA
VWF	ITGA2B
VWF	SELP
VWF	SIRPA
VWF	TNFRSF11B
WNT11	FZD7
WNT16	FZD6
WNT1	FZD1
WNT1	FZD3
WNT1	FZD5
WNT1	FZD7
WNT1	FZD8
WNT1	FZD9
WNT1	LRP5
WNT1	LRP6
WNT1	RYK
WNT2	FZD1
WNT2	FZD5
WNT2	FZD7
WNT2	FZD8
WNT2	FZD9
WNT2	LRP6
WNT3A	APCDD1
WNT3A	ATP6AP2
WNT3A	FZD1
WNT3A	FZD2
WNT3A	FZD5
WNT3A	FZD6
WNT3A	FZD7
WNT3A	FZD8
WNT3A	LRP1
WNT3A	LRP6
WNT3A	RYK
WNT3	FZD1
WNT3	FZD5
WNT3	FZD7
WNT3	FZD8
WNT3	LRP6
WNT3	RYK
WNT4	FZD2
WNT4	FZD6
WNT5A	FZD1
WNT5A	FZD2
WNT5A	FZD4
WNT5A	FZD5
WNT5A	FZD6
WNT5A	FZD7
WNT5A	FZD8
WNT5A	LRP5
WNT5A	MCAM
WNT5A	ROR1
WNT5A	ROR2
WNT5A	RYK
WNT7A	FZD10
WNT7A	FZD5
WNT7A	FZD9
WNT7A	LRP6
WNT7B	FZD1
WNT7B	FZD10
WNT7B	LRP5
XCL1	XCR1
XCL2	XCR1
YARS	CXCR1
ZG16B	CXCR4
ZG16B	TLR2
ZG16B	TLR4
ZG16B	TLR5
ZG16B	TLR6
ZP3	EGFR
ZP3	MERTK
