Ligand.ApprovedSymbol	Receptor.ApprovedSymbol
CCL13	CCR2
CCL13	CCR3
CCL13	CCR5
CCL13	CCR9
CCL13	CXCR3
CCL14	ACKR2
CCL14	CCR1
CCL14	CCR3
CCL14	CCR5
CCL15	CCR1
CCL15	CCR3
CCL16	CCR1
CCL16	CCR2
CCL16	CCR5
CCL16	CCR8
CCL16	HRH4
CCL17	CCR4
CCL17	CCR8
CCL17	DARC
CCL18	C14ORF1
CCL19	ACKR2
CCL19	ACKR4
CCL19	CCR10
CCL19	CCR7
CCL19	CCRL2
CCL19	CXCR3
CCL1	CCR8
CCL20	CCR6
CCL20	CXCR3
CCL21	ACKR2
CCL21	ACKR4
CCL21	CCR7
CCL21	CXCR3
CCL22	CCR4
CCL23	CCR1
CCL24	CCR2
CCL24	CCR3
CCL25	ACKR2
CCL25	ACKR4
CCL25	CCR10
CCL25	CCR9
CCL26	CCR1
CCL26	CCR2
CCL26	CCR3
CCL27	ACKR2
CCL27	CCR10
CCL28	ACKR2
CCL28	CCR10
CCL28	CCR3
CCL2	ACKR2
CCL2	ACKR4
CCL2	CCR1
CCL2	CCR10
CCL2	CCR2
CCL2	CCR3
CCL2	CCR4
CCL2	CCR5
CCL2	DARC
CCL3L1	CCR1
CCL3L1	CCR3
CCL3L1	CCR5
CCL3L3	ACKR2
CCL3L3	CCR5
CCL3	ACKR2
CCL3	CCR1
CCL3	CCR3
CCL3	CCR4
CCL3	CCR5
CCL4	ACKR2
CCL4	CCR1
CCL4	CCR3
CCL4	CCR5
CCL4	CCR8
CCL5	ACKR2
CCL5	ACKR4
CCL5	CCR1
CCL5	CCR3
CCL5	CCR4
CCL5	CCR5
CCL5	CXCR3
CCL5	DARC
CCL5	GPR75
CCL5	SDC1
CCL5	SDC4
CCL7	ACKR2
CCL7	ACKR4
CCL7	CCR1
CCL7	CCR10
CCL7	CCR2
CCL7	CCR3
CCL7	CCR5
CCL7	CXCR3
CCL7	DARC
CCL8	ACKR2
CCL8	ACKR4
CCL8	CCR1
CCL8	CCR2
CCL8	CCR3
CCL8	CCR5
CCL8	DARC
CD14	ITGA4
CD14	ITGB1
CD24	SELP
CD34	SELL
CD34	SELP
CD40LG	CD40
CD40LG	ITGAM
CD40LG	ITGB2
CD40LG	TRAF3
CD55	CD97
CD55	CR1
CD55	EMR2
CD5L	CD5
CD70	CD27
CDH1	CDH2
CDH1	EGFR
CDH1	ERBB3
CDH1	IGF1R
CDH1	ITGAE
CDH1	ITGB7
CDH1	KLRG1
CDH1	LRP5
CDH1	PTPRF
CDH1	PTPRM
CELA3B	CHRM3
CEL	CXCR4
CFH	ITGAM
CFH	SELL
CGA	FSHR
CGA	LHCGR
CGA	SIRPA
CGA	TSHR
CGB8	SIRPA
CGB	LHCGR
CGN	F11R
CGN	OCLN
CGN	TGFBR1
CGN	TGFBR2
CHAD	ITGA2
CHAD	ITGB1
CLCF1	CNTFR
CLCF1	CRLF1
CLCF1	IL6ST
CLCF1	LIFR
CLEC11A	KIT
CLEC3A	CLEC10A
CLEC3A	CLEC2B
CNTF	CNTFR
CNTF	IL6R
CNTF	IL6ST
CNTF	LIFR
CNTN2	CNTN1
CNTN2	CNTNAP2
CNTN2	NRCAM
CNTN2	NRP1
CNTN4	PTPRG
COL11A1	DDR1
COL11A1	ITGA2
COL11A1	ITGB1
COL14A1	CD44
COL18A1	GPC1
COL18A1	GPC4
COL18A1	ITGA5
COL18A1	ITGB1
COL18A1	KDR
COL1A1	CD36
COL1A1	CD44
COL1A1	CD93
COL1A1	DDR1
COL1A1	DDR2
COL1A1	FLT4
COL1A1	ITGA1
COL1A1	ITGA11
COL1A1	ITGA2
COL1A1	ITGA5
COL1A1	ITGAV
COL1A1	ITGB1
COL1A1	TMPRSS6
COL1A2	CD36
COL1A2	CD44
COL1A2	CD93
COL1A2	FLT4
COL1A2	ITGA1
COL1A2	ITGA11
COL1A2	ITGA2
COL1A2	ITGA2B
COL1A2	ITGAV
COL1A2	ITGB1
COL1A2	ITGB3
COL2A1	DDR1
COL2A1	ITGA1
COL2A1	ITGA10
COL2A1	ITGA2
COL2A1	ITGA2B
COL2A1	ITGB1
COL2A1	MAG
COL2A1	OR1E1
COL2A1	TNFRSF10A
COL3A1	DDR1
COL3A1	DDR2
COL3A1	ITGA2
COL3A1	ITGB1
COL3A1	MAG
COL4A1	CD47
COL4A1	CD93
COL4A1	ITGA1
COL4A1	ITGA2
COL4A1	ITGAV
COL4A1	ITGB1
COL4A1	ITGB8
COL4A2	CD93
COL4A3	CD47
COL4A3	CD93
COL4A3	ITGA1
COL4A3	ITGA2
COL4A3	ITGAV
COL4A3	ITGB1
COL4A4	CD47
COL4A4	CD93
COL4A4	ITGA1
COL4A4	ITGA2
COL4A4	ITGAV
COL4A4	ITGB1
COL4A5	CD47
COL4A5	CD93
COL4A5	ITGA1
COL4A5	ITGA2
