MALAT1,4.17294005523464e-05
GM42418,7.7034787642563e-06
LARS2,3.91634891454422e-06
PEG3,1.92433478099951e-07
MLXIPL,1.91992828344695e-07
UCP2,1.63264337060849e-07
CPLX2,1.49660967737748e-07
MT2,1.47419341116711e-07
PCLO,1.16005568893588e-07
MT1,1.10692027255188e-07
LONP1,1.08218880202194e-07
GSDMA,1.06464596904141e-07
ST8SIA1,1.06195618211944e-07
ZBTB20,1.04233345870204e-07
MEG3,1.0275423753568e-07
AVPI1,9.74281271724764e-08
GLP1R,9.12086256384262e-08
PNMAL2,8.88419876760106e-08
CHIC1,8.56177889111984e-08
ACLY,8.53862728877111e-08
ATRX,8.30176835579675e-08
ATP2A3,8.09861519378175e-08
ZIM1,8.01127465751949e-08
LDLR,7.879678316919e-08
MAPK15,7.80395781054587e-08
RAB37,7.78507090181406e-08
CYB5R3,7.64691446417084e-08
CHD3,7.58804068560705e-08
HEPACAM2,7.5747509527879e-08
PTMS,7.401510877524e-08
DYNC2H1,7.35356812796855e-08
MXD4,7.17054774051846e-08
DACH1,7.01555188837722e-08
SLC40A1,7.01440818051909e-08
MIF,6.95513054116232e-08
CMIP,6.93822443605018e-08
HIST1H1E,6.87852980407973e-08
PKP4,6.74976437883347e-08
SCGN,6.72334248427581e-08
UNC80,6.69420233330051e-08
A230057D06RIK,6.54940985385885e-08
FILIP1,6.5296253476926e-08
CD82,6.45156424210036e-08
AUTS2,6.43399992241618e-08
SPHKAP,6.41484771017675e-08
MAP2,6.39269167667524e-08
USP29,6.34213144753445e-08
DNM3,6.26146506539454e-08
CREBRF,6.25940473935874e-08
TNRC6A,6.24051827219893e-08
KRTCAP2,6.11404980206742e-08
A330076H08RIK,6.05620120835692e-08
HDAC6,5.91817686627599e-08
ERO1L,5.89597808091865e-08
INSRR,5.89153836374272e-08
KDM1A,5.88570822414429e-08
DDC,5.86870126597995e-08
GCGR,5.82261794792897e-08
DNMT3A,5.82166548042345e-08
FAM162A,5.81450451659942e-08
EIF4EBP1,5.81178238982518e-08
CNOT6L,5.79414882022206e-08
PER3,5.792894784666e-08
CADPS,5.7587447910637e-08
JMJD1C,5.6957244223663e-08
SLC30A8,5.6617553008371e-08
KLF9,5.60190579119853e-08
TMEM132B,5.55664755440919e-08
TPI1,5.54677662749075e-08
AP1S2,5.47370296106897e-08
GPRASP1,5.45777898063495e-08
DST,5.37285620287488e-08
KMT2A,5.36588617775096e-08
RIAN,5.33486742421835e-08
SORBS2,5.30704268956657e-08
CLDN7,5.25256642941449e-08
GPRASP2,5.24821890073861e-08
ZFHX2,5.21152162867179e-08
PFKP,5.20452688434293e-08
CLIC1,5.18300417891063e-08
SYNE1,5.1736517804342e-08
HNRNPA2B1,5.14308481741812e-08
SFPQ,5.03590649420931e-08
ACTG1,4.99336116241048e-08
CACNA2D1,4.98091385898021e-08
BCLAF1,4.971697081792e-08
NAV1,4.95945004985586e-08
GHR,4.89928555618303e-08
BAIAP3,4.88928623565362e-08
NFAT5,4.83772748332844e-08
TAOK2,4.81149218686038e-08
IL6RA,4.80935263046012e-08
TMOD1,4.80045155300645e-08
CSPP1,4.77889776322052e-08
PGAM1,4.75629489358124e-08
FAM151A,4.74130409891989e-08
KLHL32,4.71395355374107e-08
SLC43A2,4.65626307067663e-08
RSF1,4.62746427374686e-08
NAV2,4.62309644368787e-08
ENO1,4.62012875690337e-08
NCOR1,4.59700415192178e-08
DCAF8,4.59222618678075e-08
DDX6,4.58338804341997e-08
USP9X,4.54783925522634e-08
IRF2BP2,4.54513488132651e-08
RIMBP2,4.54114759744749e-08
PGK1,4.50993134272585e-08
ADAM22,4.47674109197475e-08
PCSK2,4.4079896043654e-08
DDX5,4.38083561403314e-08
CLTRN,4.34091038115484e-08
BANP,4.33274752250033e-08
NEDD4,4.32253600119646e-08
SPTBN1,4.30968264357339e-08
ALDOA,4.30489319525616e-08
CACNA1D,4.30356584259531e-08
NBEA,4.30034814907677e-08
AC149090.1,4.28881046185495e-08
WDR6,4.28324385385602e-08
IRS2,4.24048628478586e-08
FTL1,4.23018072409669e-08
SCNN1B,4.194694736785e-08
ITPR2,4.1890763055648e-08
TRIP11,4.18499949214623e-08
FRZB,4.17672512115554e-08
SCN9A,4.16877740949814e-08
PTPRT,4.14077384545978e-08
TNRC6B,4.11120218365547e-08
BNIP3,4.11025080170891e-08
GLUL,4.10301873802025e-08
LPP,4.09852726491569e-08
SDF2L1,4.0970454761734e-08
PHACTR1,4.08849320753683e-08
ZFP516,4.08453824712472e-08
MYT1,4.05091290206994e-08
INSIG1,4.03134025827951e-08
SMARCC2,4.02929743300709e-08
CRY2,4.01168385256223e-08
WNT4,4.00822151335388e-08
PHLDB2,4.00777872190513e-08
BPNT1,4.00239105222269e-08
CHD4,3.87695171764132e-08
STBD1,3.85434221848539e-08
IGF1R,3.85164991643371e-08
ZFP871,3.82311600066774e-08
USP35,3.80718190182039e-08
GPI1,3.80525535119938e-08
NKTR,3.79728083165602e-08
LNCPINT,3.78638223008193e-08
CLK1,3.74089818177656e-08
PJA2,3.73851542039557e-08
UQCRQ,3.730015520531e-08
REC8,3.7256901044848e-08
STEAP1,3.70333262111752e-08
PPM1L,3.69554880421822e-08
HP1BP3,3.68730201434358e-08
CACNA1A,3.67230049956899e-08
UTRN,3.63134554909097e-08
NRXN1,3.62886412516071e-08
KMT2E,3.62600396594889e-08
MACF1,3.62364872903588e-08
SRPK2,3.60634859322198e-08
KIF12,3.60502292062581e-08
COL6A6,3.58352280909507e-08
ANKRD11,3.56959190282512e-08
SLC2A1,3.56608865905111e-08
USP34,3.55604376732615e-08
NUPR1,3.54693055839413e-08
PRUNE2,3.53567137914313e-08
ADGRL1,3.53405139832061e-08
PHIP,3.52833764286891e-08
CCPG1,3.5171178117494e-08
NR1D2,3.50689545556987e-08
IDS,3.47371742038075e-08
SYT13,3.46894960747169e-08
NISCH,3.46536025023766e-08
MRPL54,3.4586422314073e-08
SNRNP70,3.45220517789858e-08
MYO6,3.44219953720839e-08
CDS1,3.42546350340412e-08
ABCD3,3.41824915280908e-08
ROBO2,3.41277991301761e-08
TRIB3,3.412361254786e-08
FAM210B,3.40737635208844e-08
ZDHHC2,3.39460100677051e-08
RAD51AP2,3.37434281795182e-08
CYCS,3.37388072766875e-08
4931406C07RIK,3.35466632363124e-08
TOP2B,3.33488553788517e-08
BRD3,3.33382158769368e-08
CUX2,3.33193262897699e-08
BMP1,3.31085999955446e-08
INS1,3.29626507145706e-08
PIK3R1,3.29155318178997e-08
