"x"
"Interneurons"
"Neurons"
"Hematopoietic stem cell"
"Adipocytes"
"Oligodendrocyte precursor cell"
"Matrix fibroblast"
"Type IA spiral ganglion neuron"
"Mast cells"
"Trigeminal neurons"
"Myocytes"
"Cajal-Retzius cells"
"Bergmann glial cell"
"Podocytes"
"Retinal ganglion cells"
"Smooth muscle cells"
"Olfactory epithelial cells"
"Hematopoietic stem cells"
"Oligodendrocytes"
"T helper17 (Th17) cell"
"T follicular helper cells"
"Keratinocytes"
"Enterocytes"
"Secretory cell"
"Follicular helper (Tfh) T cell"
"Enteric glia cells"
"Mammary epithelial cells"
"Beta cells"
"Ependymal cells"
"Sertoli cells"
"Proximal tubule cells"
"Parietal cells"
"Myoblasts"
"Eosinophil"
"Osteoblasts"
"Germ cell"
"Anterior pituitary gland cells"
"Martinotti cell"
"Type IC spiral ganglion neuron"
"Megakaryocytes"
"Pre-haematopoietic stem cell"
"Enteric neurons"
"Hepatic stellate cells"
"Thymocyte"
"Rheaume et al.Nat Commun.23"
"Conventional dendritic cell"
"Red blood cell (erythrocyte)"
"Lipofibroblast"
"Rheaume et al.Nat Commun.34"
"Rheaume et al.Nat Commun.32"
"Satellite cells"
"Rheaume et al.Nat Commun.35"
"Foveolar cells"
"Myofibroblasts"
"Neuroendocrine cell"
"Trophoblast cells"
"Rheaume et al.Nat Commun.28"
"Thymocytes"
"T regulatory cells"
"Rhombic lip cell"
"Spermatocytes"
"Basket cell"
"Pulmonary alveolar type II cells"
"Arterial cell"
"Neuroendocrine cells"
"Hematopoietic stem cell progenitor cell"
"Adrenergic neurons"
"Induced pluripotent stem cell"
"Epsilon cells"
"Lymphoid cell"
"Pdgfrapha+ cell"
"Basophils"
"Melanocytes"
"Photoreceptor cells"
"Germ cells"
"Cardiomyocytes"
"Pluripotent stem cell"
"Rheaume et al.Nat Commun.3"
"Type I spiral ganglion neuron"
"Dendritic cells"
"Loop of Henle cells"
"Neural stem cell"
"Germinal center B cell"
"Satellite glial cells"
"Chromaffin cells"
"Neutrophils"
"Endothelial cells (aorta)"
"Megakaryocyte erythroid cell"
"Astrocyte"
"Podocyte"
"Pinealocytes"
"Megakaryocyte"
"Plasmacytoid dendritic cells"
"Hormone sensing differentiated cell"
"Hormone sensing progenitor"
"Peritubular myoid cells"
"Mesothelial cells"
"Retinal ganglion cell"
"Vascular endothelial cell"
"Osteoclasts"
"Epithelial cell"
"Myeloid-derived suppressor cell"
"Myeloid-derived suppressor cells"
"Olfactory ensheathing glia"
"Meniscus-derived progenitor cell"
"Meniscus-derived stem cell"
"Type IB spiral ganglion neuron"
"GABAergic neurons"
"Pulmonary alveolar type I cells"
"Smooth muscle cell"
"Choroid plexus cells"
"Osteoclast"
"Activated CD8+ T cell"
"Immature neurons"
"Hepatocytes"
"Neutrophil"
"Cholangiocytes"
"Hepatocyte"
"Collecting duct transient cell"
"Follicular cells"
"Rheaume et al.Nat Commun.5"
"Fibroblasts"
"Myoepithelial cells"
"4-cell stage cell (Blastomere)"
"Oocyte"
"Multiple pluripotent progenitor cell"
"Myeloid progenitor cell"
"Rheaume et al.Nat Commun.18"
"Schwalie et al.Nature.P2"
"Leydig cells"
"Follicular B cell"
"Tuft cells"
"Endogenic cell"
"Ciliated cell"
"Purkinje neurons"
"Rheaume et al.Nat Commun.40"
"Rheaume et al.Nat Commun.7"
"Type II spiral ganglion neuron"
"Macrophages"
"Schwalie et al.Nature.P3"
"Merkel cells"
"Hematopoetic cell"
"Fat cell (adipocyte)"
"Progenitor cell"
"Rheaume et al.Nat Commun.29"
"Plasma cell"
"NK cells"
"Liver stem cell"
"Type II pneumocyte"
"Myofibroblast"
"Glutaminergic neurons"
"Distal tubule cells"
"Kupffer cells"
"Interneuron-selective cell"
"CCK basket cell"
"Stem cell"
"Endothelial cells"
"Gamma (PP) cells"
"Chandelier cell"
"Enteroendocrine cells"
"Quiescent neural stem cell"
"Eosinophils"
"Ionocyte cell"
"Natural killer T cells"
"Transient cells"
"Hepatoblasts"
"Principal cells"
"Memory B cell"
"Mesoderm cell"
"Goblet cells"
"Spermatozoa"
"Pericytes"
"Wnt2+ cell"
"T helper2 (Th2) cell"
"Stage I neutrophil"
"Rheaume et al.Nat Commun.25"
"Embryonic stem cells"
"Cancer stem cell (Lung Cancer)"
"Axin2-Palpha+ cell"
"Effector T cell"
"Erythroid cell"
"Stromal cells"
"Adipose-derived stem cell"
"Osteoclast precursor cells"
"Unrestricted somatic stem cell"
"Distal convoluted tubule cell"
"Pancreatic stellate cells"
"Langerhans cells"
"Mesenchymal stromal cell"
"Chondrocytes"
"Cajal-Retzius cell"
"T helper1 (Th1) cell"
"Cancer stem cell (Breast Cancer)"
"Mesangial cells"
"Astrocytes"
"Neuron"
"Natural killer cell"
"Monocytes"
"Alveolar macrophages"
"Axin2+ cell"
"Immature transitional B cell"
"Rheaume et al.Nat Commun.16"
"Microglial cell"
"B cells memory"
"Neuroblasts"
"Central memory T cell"
"Pyramidal cells"
"Endothelial cell"
"Undefined placental cells"
"Luminal epithelial cells"
"M1 macrophage"
"Rheaume et al.Nat Commun.11"
"Pancreatic progenitor cells"
"Platelet"
"T helper cell"
"Rheaume et al.Nat Commun.37"
"Proximal tubule cell"
"Bergmann glia"
"Rheaume et al.Nat Commun.27"
"B cells"
"Paneth cells"
"Rheaume et al.Nat Commun.39"
"Collecting duct principal cell"
"Rheaume et al.Nat Commun.33"
"Erythroid-like and erythroid precursor cells"
"Cholinergic neurons"
"B cells naive"
"Rheaume et al.Nat Commun.22"
"Mesenchymal stem cell"
"Oligodendrocyte progenitor cells"
"Basal cells"
"Regulatory T (Treg) cell"
"Ventral otocyst"
"Plasma cells"
"Neuroblast"
"Clara cells"
"Cancer stem cell (Colon Cancer)"
"Reticulocytes"
"CD4+CD25+ regulatory T cell"
"Kupffer cell"
"Granulocyte"
"Delta cells"
"Glomus cell"
"Immature dendritic cell"
"Activated neural stem cell"
"Luteal cells"
"Osteocyte"
"Sebocytes"
"Cytotoxic T cell"
"Macrophage"
"Cancer stem cell (Head And Neck Squamous Cell Carcinoma)"
"Long-projecting GABAergic cell"
"Early neuroblast"
"Retinal progenitor cells"
"Medullary cell"
"Adipocyte progenitor cells"
"Krt4/13+ cell"
"Specialist antigen presenting cell"
"Schwann cells"
"1-cell stage cell (Blastomere)"
"CD4+ T helper cell"
